,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency,MiddleSchool_ELA_TotalStudents,MiddleSchool_ELA_Total4s,MiddleSchool_ELA_AIAN4s,MiddleSchool_ELA_Black4s,MiddleSchool_ELA_Hispanic4s,MiddleSchool_ELA_Asian4s,MiddleSchool_ELA_White4s,MiddleSchool_ELA_Multiracial4s,MiddleSchool_ELA_LimitedEng4s,MiddleSchool_ELA_EcoDisadv4s,MiddleSchool_Math_TotalStudents,MiddleSchool_Math_Total4s,MiddleSchool_Math_AIAN4s,MiddleSchool_Math_Black4s,MiddleSchool_Math_Hispanic4s,MiddleSchool_Math_Asian4s,MiddleSchool_Math_White4s,MiddleSchool_Math_Multiracial4s,MiddleSchool_Math_LimitedEng4s,MiddleSchool_Math_EcoDisadv4s,DBN,School,Total_Students,Testers,Offers,Perc_Testers,Perc_Offers,Offer
10,TOMPKINS SQUARE MIDDLE SCHOOL,310100010839,01M839,1,40.723746999999996,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,"06,07,08",06,08,No,0.597,,0.03,0.23,0.16,0.37,0.2,0.96,0.07,0.9,Exceeding Target,0.89,Exceeding Target,0.88,Meeting Target,0.86,Meeting Target,0.83,Meeting Target,0.94,Exceeding Target,Exceeding Target,2.92,3.01,266,0.20300751879699247,0.0,0.0,0.04887218045112782,0.05263157894736842,0.05263157894736842,0.0,0.0,0.09774436090225563,249,0.18072289156626506,0.0,0.0,0.024096385542168676,0.08032128514056225,0.04819277108433735,0.0,0.0,0.09236947791164658,01M839,TOMPKINS SQUARE MIDDLE SCHOOL,122.0,63.0,8.0,51.63934426229508,6.557377049180328,1
11,J.H.S. 104 SIMON BARUCH,310200010104,02M104,2,40.735735,-73.980611,"330 E 21ST ST NEW YORK, NY 10010",NEW YORK,10010,"06,07,08",06,08,No,0.522,,0.05,0.4,0.08,0.21,0.28,0.96,0.11,0.87,Meeting Target,0.89,Exceeding Target,0.85,Meeting Target,0.84,Meeting Target,0.7,Approaching Target,0.92,Meeting Target,Exceeding Target,3.05,3.25,1044,0.2557471264367816,0.0009578544061302681,0.006704980842911878,0.02586206896551724,0.1024904214559387,0.11398467432950192,0.0019157088122605363,0.0,0.09099616858237548,950,0.3452631578947368,0.0010526315789473684,0.002105263157894737,0.02631578947368421,0.16526315789473683,0.13894736842105262,0.004210526315789474,0.003157894736842105,0.1368421052631579,02M104,J.H.S. 104 SIMON BARUCH,408.0,251.0,83.0,61.51960784313726,20.34313725490196,1
12,EAST SIDE MIDDLE SCHOOL,310200010114,02M114,2,40.780646000000004,-73.947544,"331 E 91ST ST NEW YORK, NY 10028",NEW YORK,10028,"06,07,08",06,08,No,0.10400000000000001,,0.0,0.15,0.03,0.09,0.66,0.98,0.02,0.92,Exceeding Target,0.96,Exceeding Target,0.92,Exceeding Target,0.94,Exceeding Target,0.82,Meeting Target,0.96,Exceeding Target,Exceeding Target,3.66,3.94,431,0.62877030162413,0.0069605568445475635,0.002320185614849188,0.05104408352668213,0.10672853828306264,0.4013921113689095,0.02088167053364269,0.0,0.03480278422273782,431,0.7865429234338747,0.01160092807424594,0.004640371229698376,0.04408352668213457,0.14153132250580047,0.505800464037123,0.0,0.0,0.04640371229698376,02M114,EAST SIDE MIDDLE SCHOOL,146.0,102.0,59.0,69.86301369863014,40.41095890410959,1
13,P.S. 126 JACOB AUGUST RIIS,310200010126,02M126,2,40.710448,-73.997001,"80 CATHERINE ST NEW YORK, NY 10038",NEW YORK,10038,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.728,38919.61,0.17,0.59,0.11,0.21,0.08,0.96,0.1,0.91,Exceeding Target,0.93,Exceeding Target,0.91,Exceeding Target,0.89,Exceeding Target,0.82,Approaching Target,0.95,Exceeding Target,Exceeding Target,2.93,3.29,322,0.32608695652173914,0.0,0.006211180124223602,0.037267080745341616,0.19254658385093168,0.07142857142857142,0.009316770186335404,0.0,0.17080745341614906,220,0.5045454545454545,0.0,0.0,0.03636363636363636,0.33636363636363636,0.1,0.0,0.00909090909090909,0.31363636363636366,02M126,P.S. 126 JACOB AUGUST RIIS,110.0,66.0,16.0,60.0,14.545454545454545,1
14,M.S. 131,310200010131,02M131,2,40.716213,-73.993555,"100 HESTER ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08",06,08,No,0.8370000000000001,,0.35,0.77,0.08,0.14,0.0,0.97,0.09,0.86,Meeting Target,0.92,Meeting Target,0.91,Meeting Target,0.86,Meeting Target,0.78,Meeting Target,0.95,Exceeding Target,Exceeding Target,2.49,3.02,340,0.10882352941176471,0.0,0.0,0.0058823529411764705,0.10294117647058823,0.0,0.0,0.0,0.05,374,0.232620320855615,0.0,0.0,0.0,0.22994652406417113,0.0,0.0,0.05080213903743316,0.14171122994652408,02M131,M.S. 131,169.0,61.0,17.0,36.09467455621302,10.059171597633137,1
15,J.H.S. 167 ROBERT F. WAGNER,310200010167,02M167,2,40.771827,-73.95794000000001,"220 E 76TH ST NEW YORK, NY 10021",NEW YORK,10021,"06,07,08",06,08,No,0.36,,0.04,0.28,0.08,0.19,0.42,0.96,0.09,0.85,Exceeding Target,0.89,Meeting Target,0.87,Meeting Target,0.84,Meeting Target,0.76,Approaching Target,0.92,Meeting Target,Exceeding Target,3.08,3.34,1251,0.28776978417266186,0.0,0.007993605115907274,0.019984012789768184,0.09992006394884093,0.15027977617905675,0.0,0.0007993605115907274,0.07833733013589128,1165,0.4223175965665236,0.0,0.011158798283261802,0.026609442060085836,0.1682403433476395,0.2017167381974249,0.0,0.01201716738197425,0.14849785407725322,02M167,J.H.S. 167 ROBERT F. WAGNER,437.0,228.0,68.0,52.17391304347826,15.560640732265446,1
16,YORKVILLE EAST MIDDLE SCHOOL,310200010177,02M177,2,40.770203,-73.95073000000001,"1458 YORK AVE NEW YORK, NY 10075",NEW YORK,10075,"06,07,08",06,08,No,0.271,,0.01,0.11,0.11,0.3,0.42,0.96,0.09,0.99,,0.99,,0.88,,0.99,,0.92,,0.98,,,3.13,3.59,131,0.22900763358778625,0.0,0.007633587786259542,0.03816793893129771,0.03816793893129771,0.10687022900763359,0.0,0.0,0.015267175572519083,130,0.38461538461538464,0.0,0.015384615384615385,0.06923076923076923,0.07692307692307693,0.18461538461538463,0.0,0.0,0.06153846153846154,02M177,YORKVILLE EAST MIDDLE SCHOOL,49.0,29.0,7.0,59.183673469387756,14.285714285714285,1
17,P.S./I.S. 217 ROOSEVELT ISLAND,310200010217,02M217,2,40.763969,-73.948468,"645 MAIN ST ROOSEVELT ISLAND, NY 10044",ROOSEVELT ISLAND,10044,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.293,93388.06,0.07,0.29,0.16,0.14,0.36,0.95,0.1,0.93,Exceeding Target,0.95,Exceeding Target,0.89,Meeting Target,0.88,Meeting Target,0.89,Exceeding Target,0.92,Meeting Target,Meeting Target,2.9,3.01,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,0.047619047619047616,0.0,0.0,0.0,0.015873015873015872,0.0,0.0,0.0,0.047619047619047616,02M217,P.S./I.S. 217 ROOSEVELT ISLAND,18.0,2.5,2.5,13.88888888888889,13.88888888888889,1
18,ELLA BAKER SCHOOL,310200011225,02M225,2,40.765368,-73.959696,"317 E 67TH ST NEW YORK, NY 10021",NEW YORK,10021,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.429,58096.58,0.03,0.04,0.19,0.37,0.35,0.92,0.26,0.91,Exceeding Target,0.91,Exceeding Target,0.93,Meeting Target,0.82,Meeting Target,0.95,Exceeding Target,0.9,Meeting Target,Meeting Target,2.71,2.75,32,0.09375,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.03125,31,0.16129032258064516,0.0,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.06451612903225806,02M225,ELLA BAKER SCHOOL,22.0,2.5,2.5,11.363636363636363,11.363636363636363,1
19,M.S. 255 SALK SCHOOL OF SCIENCE,310200010255,02M255,2,40.735118,-73.981697,"319 E 19TH ST NEW YORK, NY 10003",NEW YORK,10003,"06,07,08",06,08,No,0.131,,0.0,0.19,0.03,0.09,0.63,0.97,0.05,0.93,Meeting Target,0.97,Exceeding Target,0.95,Exceeding Target,0.96,Exceeding Target,0.88,Exceeding Target,0.98,Exceeding Target,Exceeding Target,3.75,3.63,369,0.6070460704607046,0.0,0.0,0.04878048780487805,0.13279132791327913,0.3604336043360434,0.0,0.0,0.056910569105691054,325,0.6646153846153846,0.0,0.0,0.052307692307692305,0.15076923076923077,0.38461538461538464,0.0,0.0,0.052307692307692305,02M255,M.S. 255 SALK SCHOOL OF SCIENCE,126.0,110.0,65.0,87.3015873015873,51.587301587301596,1
20,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,310200010260,02M260,2,40.736114,-73.992352,"10 E 15TH ST NEW YORK, NY 10003",NEW YORK,10003,"06,07,08",06,08,No,0.23600000000000002,,0.01,0.14,0.06,0.1,0.65,0.97,0.02,0.91,Exceeding Target,0.9,Meeting Target,0.9,Exceeding Target,0.87,Meeting Target,0.87,Exceeding Target,0.95,Exceeding Target,Exceeding Target,3.37,3.36,258,0.37209302325581395,0.0,0.0,0.011627906976744186,0.05426356589147287,0.26356589147286824,0.01937984496124031,0.0,0.01937984496124031,229,0.36681222707423583,0.0,0.0,0.017467248908296942,0.05240174672489083,0.26200873362445415,0.026200873362445413,0.0,0.021834061135371178,02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,93.0,21.0,11.0,22.58064516129032,11.827956989247312,1
21,BATTERY PARK CITY SCHOOL,310200010276,02M276,2,40.706563,-74.017528,"55 BATTERY PL NEW YORK, NY 10011",NEW YORK,10011,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.114,140085.12,0.02,0.21,0.04,0.11,0.56,0.96,0.08,0.92,Exceeding Target,0.94,Meeting Target,0.88,Meeting Target,0.92,Exceeding Target,0.9,Exceeding Target,0.93,Meeting Target,Meeting Target,3.16,3.32,242,0.3512396694214876,0.0,0.004132231404958678,0.012396694214876033,0.07851239669421488,0.2190082644628099,0.02066115702479339,0.0,0.024793388429752067,215,0.3395348837209302,0.0,0.004651162790697674,0.013953488372093023,0.09302325581395349,0.18604651162790697,0.027906976744186046,0.0,0.018604651162790697,02M276,BATTERY PARK CITY SCHOOL,94.0,54.0,20.0,57.446808510638306,21.27659574468085,1
22,I.S. 289,310200010289,02M289,2,40.716867,-74.013623,"201 WARREN ST NEW YORK, NY 10282",NEW YORK,10282,"06,07,08",06,08,No,0.313,,0.01,0.38,0.08,0.13,0.38,0.97,0.02,0.91,Meeting Target,0.97,Exceeding Target,0.82,Meeting Target,0.95,Exceeding Target,0.84,Meeting Target,0.93,Meeting Target,Meeting Target,3.18,3.26,274,0.2664233576642336,0.0,0.010948905109489052,0.01824817518248175,0.11313868613138686,0.11313868613138686,0.0,0.0,0.0948905109489051,273,0.32234432234432236,0.0,0.007326007326007326,0.007326007326007326,0.20512820512820512,0.09523809523809523,0.0,0.0,0.1684981684981685,02M289,I.S. 289,94.0,50.0,2.5,53.191489361702125,2.6595744680851063,1
23,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,310200010312,02M312,2,40.742571000000005,-74.002371,"333 W 17TH ST NEW YORK, NY 10011",NEW YORK,10011,"06,07,08",06,08,No,0.308,,0.01,0.47,0.02,0.07,0.34,0.98,0.02,0.88,Meeting Target,0.91,Exceeding Target,0.9,Exceeding Target,0.83,Meeting Target,0.85,Meeting Target,0.92,Meeting Target,Exceeding Target,3.62,3.94,532,0.5357142857142857,0.0,0.0,0.0,0.2744360902255639,0.17481203007518797,0.05451127819548872,0.0,0.15413533834586465,403,0.7444168734491315,0.0,0.0,0.0,0.39950372208436724,0.24069478908188585,0.02729528535980149,0.0,0.22332506203473945,02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,174.0,150.0,112.0,86.20689655172413,64.36781609195403,1
24,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,310200010347,02M347,2,40.738621,-73.981534,"223 E 23RD ST NEW YORK, NY 10010",NEW YORK,10010,"PK,0K,01,02,03,04,05,06,07,08",PK,08,No,0.812,51287.22,0.06,0.04,0.22,0.46,0.23,0.92,0.29,0.82,Meeting Target,0.68,Not Meeting Target,0.91,Meeting Target,0.53,Not Meeting Target,0.82,Approaching Target,0.82,Meeting Target,Meeting Target,2.32,2.23,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,7.0,2.5,2.5,35.714285714285715,35.714285714285715,1
25,SPRUCE STREET SCHOOL,310200010397,02M397,2,40.711057000000004,-74.005361,"12 SPRUCE ST NEW YORK, NY 10018",NEW YORK,10018,"0K,01,02,03,04,05,06,07,08",0K,08,No,0.059000000000000004,143926.53,0.02,0.14,0.03,0.12,0.58,0.96,0.06,0.97,Meeting Target,0.93,Meeting Target,0.97,Exceeding Target,0.93,Exceeding Target,0.94,Exceeding Target,0.95,Meeting Target,Exceeding Target,3.29,3.58,55,0.34545454545454546,0.0,0.0,0.07272727272727272,0.0,0.18181818181818182,0.0,0.0,0.07272727272727272,54,0.48148148148148145,0.0,0.0,0.09259259259259259,0.0,0.24074074074074073,0.0,0.0,0.12962962962962962,,,,,,,,0
26,INSTITUTE FOR COLLABORATIVE EDUCATION,310200011407,02M407,2,40.732676,-73.982576,"345 E 15TH ST NEW YORK, NY 10003",NEW YORK,10003,"06,07,08,09,10,11,12",06,12,No,0.258,,0.0,0.07,0.16,0.16,0.55,0.96,0.13,0.94,Exceeding Target,0.98,Exceeding Target,0.9,Exceeding Target,0.98,Exceeding Target,0.89,Exceeding Target,0.96,Exceeding Target,Approaching Target,3.28,2.95,25,0.28,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,20,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,70.0,11.0,2.5,15.714285714285714,3.571428571428571,1
27,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,310200011408,02M408,2,40.761328999999996,-73.98866899999999,"328 W 48TH ST NEW YORK, NY 10036",NEW YORK,10036,"06,07,08,09,10,11,12",06,12,No,0.33,,0.0,0.05,0.23,0.2,0.44,0.96,0.09,0.9,Meeting Target,0.86,Meeting Target,0.84,Meeting Target,0.85,Meeting Target,0.75,Approaching Target,0.91,Meeting Target,Exceeding Target,3.44,3.38,67,0.4626865671641791,0.0,0.0,0.04477611940298507,0.0,0.23880597014925373,0.0,0.0,0.014925373134328358,56,0.4107142857142857,0.0,0.0,0.05357142857142857,0.0,0.19642857142857142,0.0,0.0,0.0,02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,30.0,10.0,2.5,33.33333333333333,8.333333333333332,1
28,SCHOOL OF THE FUTURE HIGH SCHOOL,310200010413,02M413,2,40.739095,-73.985349,"127 E 22ND ST NEW YORK, NY 10010",NEW YORK,10010,"06,07,08,09,10,11,12",06,12,No,0.358,,0.01,0.15,0.11,0.29,0.37,0.97,0.06,0.88,Exceeding Target,0.96,Exceeding Target,0.88,Exceeding Target,0.91,Exceeding Target,0.76,Meeting Target,0.92,Meeting Target,Meeting Target,3.05,3.21,250,0.304,0.0,0.008,0.056,0.064,0.128,0.048,0.0,0.088,251,0.3545816733067729,0.0,0.00796812749003984,0.06374501992031872,0.08366533864541832,0.15139442231075698,0.035856573705179286,0.0,0.099601593625498,02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,89.0,30.0,6.0,33.70786516853933,6.741573033707865,1
29,QUEST TO LEARN,310200011422,02M422,2,40.743368,-74.00254699999999,"351 W 18TH ST NEW YORK, NY 10011",NEW YORK,10011,"06,07,08,09,10,11,12",06,12,No,0.406,,0.03,0.11,0.19,0.35,0.29,0.95,0.11,0.83,Approaching Target,0.79,Meeting Target,0.82,Meeting Target,0.74,Approaching Target,0.8,Meeting Target,0.86,Approaching Target,Meeting Target,2.94,2.76,259,0.09652509652509653,0.0,0.0,0.02702702702702703,0.007722007722007722,0.04247104247104247,0.011583011583011582,0.0,0.007722007722007722,224,0.08482142857142858,0.0,0.0,0.004464285714285714,0.026785714285714284,0.03125,0.022321428571428572,0.0,0.026785714285714284,02M422,QUEST TO LEARN,89.0,35.0,7.0,39.325842696629216,7.865168539325842,1
30,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",310200011442,02M442,2,40.73854,-73.989485,"890 BROADWAY NEW YORK, NY 10003",NEW YORK,10003,"04,05,06,07,08",04,08,No,0.46799999999999997,56095.12,0.0,0.36,0.25,0.16,0.19,0.96,0.07,0.98,Exceeding Target,0.98,Exceeding Target,0.92,Meeting Target,0.94,Exceeding Target,0.84,Meeting Target,0.95,Exceeding Target,Exceeding Target,3.21,3.65,67,0.44776119402985076,0.0,0.0,0.0,0.2835820895522388,0.0,0.0,0.0,0.208955223880597,44,0.45454545454545453,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",19.0,10.0,2.5,52.63157894736842,13.157894736842104,1
